0,0,0,0,0,0
1,-1,1555260910.9675584,1,4,4
2,-1,1555260968.312775,4,5,4
3,-1,1555264951.3188999,1,3,3
4,-1,1555265166.7705162,1,3,3
5,-1,1555268551.131651,1,5,5
6,-1,1555269018.3984094,1,1,1
7,0,1555270033.5373542,1,2,2
8,-1,1555270111.6725745,1,2,2
9,-1,1555270197.917101,1,1,2
10,-1,1555273606.3246746,1,3,3
11,-1,1555274624.291905,1,1,1
12,-1,1555328425.1078207,1,3,3
13,-1,1555328508.6671813,1,1,1
14,-1,1555328617.3919606,1,1,1
15,-1,1555328742.8130722,1,1,1
16,-1,1555328831.627913,1,1,1
17,-1,1555328975.478296,1,1,1
18,-1,1555329153.345495,1,1,1
19,-1,1555329277.995994,1,3,3
20,-1,1555329728.3122103,1,5,5
21,-1,1555329908.7840388,1,3,3
22,-1,1555330549.4481373,1,3,3
23,-1,1555330646.1222036,1,2,2
24,-1,1555330680.1037486,1,2,2
25,-1,1555336142.2515225,1,1,1
26,-1,1555336213.9391804,1,1,1
27,-1,1555336550.2052696,4,3,4
28,-1,1555336827.1158698,5,4,6
29,-1,1555337226.9373095,5,3,2
30,0,1555338532.637625,3,2,4
31,-1,1555338900.1280022,5,2,2
32,-1,1555340274.3765097,5,2,1
33,-1,1555342691.0819209,2,3,3
34,-1,1555342771.0286157,4,5,5
